,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0, Enjoying a beautiful day at the park!              , Positive  ,1/15/2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
1,1, Traffic was terrible this morning.                 , Negative  ,1/15/2023 8:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
2,2, Just finished an amazing workout! 💪               , Positive  ,1/15/2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
3,3, Excited about the upcoming weekend getaway!        , Positive  ,1/15/2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,1/15/2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
5,5, Feeling grateful for the little things in life.    , Positive  ,1/16/2023 9:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,1/16/2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
7,7, The new movie release is a must-watch!             , Positive  ,1/16/2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
8,8, Political discussions heating up on the timeline.  , Negative  ,1/17/2023 8:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
9,9, Missing summer vibes and beach days.               , Neutral   ,1/17/2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
10,10, Just published a new blog post. Check it out!      , Positive  ,1/17/2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
11,11, Feeling a bit under the weather today.             , Negative  ,1/18/2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
12,12, Exploring the city's hidden gems.                  , Positive  ,1/18/2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
13,13," New year, new fitness goals! 💪                    ", Positive  ,1/18/2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
14,14, Technology is changing the way we live.            , Neutral   ,1/19/2023 9:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9
15,15, Reflecting on the past and looking ahead.          , Positive  ,1/19/2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,1/19/2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
17,17, Late-night gaming session with friends.            , Positive  ,1/20/2023 0:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0
18,18, Attending a virtual conference on AI.              , Neutral   ,1/20/2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11
19,19, Winter blues got me feeling low.                   , Negative  ,1/20/2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
